Zip,PC
40339.0,-0.26489699027948643
24292.0,-0.2647869103801835
62999.0,-0.2642309479553903
6783.0,-0.2626165721040798
72005.0,-0.262170366848323
5470.0,-0.2614792845662021
15616.0,-0.26083911825599804
99624.0,-0.26073277029756614
23968.0,-0.2602443131699233
82923.0,-0.2593775234188622
72340.0,-0.25937520815293413
96774.0,-0.2587784119865457
21869.0,-0.2584674946796359
38679.0,-0.2584428408659324
23359.0,-0.2583484598334413
15358.0,-0.25801564973746255
72072.0,-0.25691126561006955
67112.0,-0.25617995036005653
61091.0,-0.25586828345755924
54731.0,-0.254804966126481
71082.0,-0.25424147941081604
43740.0,-0.2521665932228286
21866.0,-0.25171750969992523
56145.0,-0.2508532587272745
15693.0,-0.2506572050641077
58036.0,-0.2505725196582637
17219.0,-0.25052124629254396
24635.0,-0.2489271701814615
43605.0,-0.2480548838187362
62932.0,-0.24775289541348922
14732.0,-0.24759641674703467
62630.0,-0.2473534523621425
17263.0,-0.24671100249495473
46408.0,-0.24651928618126348
18212.0,-0.24637270302174055
21634.0,-0.24636086845421906
61857.0,-0.24572259044766917
69141.0,-0.24485185841936055
55603.0,-0.24484114556147127
83806.0,-0.2443496732292116
62819.0,-0.24207399655257325
15033.0,-0.2409479290394268
21840.0,-0.24001134113493663
17271.0,-0.23984055177075092
36483.0,-0.23808912642898397
62983.0,-0.23800904977375564
95556.0,-0.2368368378386493
87522.0,-0.23574667900488686
64036.0,-0.23524342049945346
61524.0,-0.23432651846814298
61013.0,-0.2343177894359325
27897.0,-0.2340724178622446
61340.0,-0.2331076254964144
61541.0,-0.232996940625995
21861.0,-0.23264750811533322
22511.0,-0.23192364414348918
28649.0,-0.23188223873602465
45633.0,-0.2308865307486631
72672.0,-0.2308082994737894
58467.0,-0.23078445703148792
61104.0,-0.23037180880440397
87573.0,-0.23000540220718751
4668.0,-0.22983272481321668
62481.0,-0.2297932617747982
36767.0,-0.22961882181287616
4429.0,-0.22948393147080232
23937.0,-0.2292852400688397
10590.0,-0.22872986953583332
67012.0,-0.22845436317670648
23306.0,-0.22790313835283366
36759.0,-0.22771371769383697
24569.0,-0.22724154118369264
21626.0,-0.22683954742197585
67564.0,-0.2267220270414138
18348.0,-0.22661283214625977
67159.0,-0.2257728015577732
10915.0,-0.22552793545159958
